recording_id,speaker_id,language,content_type,content_id,reference_transcript,file_path,duration_seconds,device,noise_condition,date_recorded,consent_confirmed,consent_date,notes
v0-sw-0009,spk-sw-001,sw,syllable,sw-ls-009,no,dataset-v0/audio/sw-en_setA_SPEAKER_sw-ls-009.wav,1.471,Basic Android phone (model unspecified),moderate,,yes,2026-08-14,Audio and segmentation QA confirmed for development V0.
v0-sw-0010,spk-sw-001,sw,syllable,sw-ls-010,nu,dataset-v0/audio/sw-en_setA_SPEAKER_sw-ls-010.wav,1.687,Basic Android phone (model unspecified),moderate,,yes,2026-08-14,Audio and segmentation QA confirmed for development V0.
v0-sw-0011,spk-sw-001,sw,syllable,sw-ls-011,ka,dataset-v0/audio/sw-en_setA_SPEAKER_sw-ls-011.wav,1.186,Basic Android phone (model unspecified),moderate,,yes,2026-08-14,Audio and segmentation QA confirmed for development V0.
v0-sw-0012,spk-sw-001,sw,syllable,sw-ls-012,ke,dataset-v0/audio/sw-en_setA_SPEAKER_sw-ls-012.wav,1.599,Basic Android phone (model unspecified),moderate,,yes,2026-08-14,Audio and segmentation QA confirmed for development V0.
v0-sw-0013,spk-sw-001,sw,syllable,sw-ls-013,ki,dataset-v0/audio/sw-en_setA_SPEAKER_sw-ls-013.wav,1.639,Basic Android phone (model unspecified),moderate,,yes,2026-08-14,Audio and segmentation QA confirmed for development V0.
v0-sw-0014,spk-sw-001,sw,syllable,sw-ls-014,ko,dataset-v0/audio/sw-en_setA_SPEAKER_sw-ls-014.wav,1.493,Basic Android phone (model unspecified),moderate,,yes,2026-08-14,Audio and segmentation QA confirmed for development V0.
v0-sw-0015,spk-sw-001,sw,syllable,sw-ls-015,ku,dataset-v0/audio/sw-en_setA_SPEAKER_sw-ls-015.wav,1.526,Basic Android phone (model unspecified),moderate,,yes,2026-08-14,Audio and segmentation QA confirmed for development V0.
v0-sw-0016,spk-sw-001,sw,syllable,sw-ls-016,wa,dataset-v0/audio/sw-en_setA_SPEAKER_sw-ls-016.wav,1.615,Basic Android phone (model unspecified),moderate,,yes,2026-08-14,Audio and segmentation QA confirmed for development V0.
v0-sw-0017,spk-sw-001,sw,syllable,sw-ls-017,we,dataset-v0/audio/sw-en_setA_SPEAKER_sw-ls-017.wav,1.597,Basic Android phone (model unspecified),moderate,,yes,2026-08-14,Audio and segmentation QA confirmed for development V0.
v0-sw-0018,spk-sw-001,sw,syllable,sw-ls-018,wi,dataset-v0/audio/sw-en_setA_SPEAKER_sw-ls-018.wav,1.530,Basic Android phone (model unspecified),moderate,,yes,2026-08-14,Audio and segmentation QA confirmed for development V0.
v0-sw-0019,spk-sw-001,sw,syllable,sw-ls-019,wo,dataset-v0/audio/sw-en_setA_SPEAKER_sw-ls-019.wav,1.506,Basic Android phone (model unspecified),moderate,,yes,2026-08-14,Audio and segmentation QA confirmed for development V0.
v0-sw-0020,spk-sw-001,sw,syllable,sw-ls-020,wu,dataset-v0/audio/sw-en_setA_SPEAKER_sw-ls-020.wav,1.477,Basic Android phone (model unspecified),moderate,,yes,2026-08-14,Audio and segmentation QA confirmed for development V0.
v0-sw-0021,spk-sw-001,sw,syllable,sw-ls-021,la,dataset-v0/audio/sw-en_setA_SPEAKER_sw-ls-021.wav,1.601,Basic Android phone (model unspecified),moderate,,yes,2026-08-14,Audio and segmentation QA confirmed for development V0.
v0-sw-0022,spk-sw-001,sw,syllable,sw-ls-022,le,dataset-v0/audio/sw-en_setA_SPEAKER_sw-ls-022.wav,1.630,Basic Android phone (model unspecified),moderate,,yes,2026-08-14,Audio and segmentation QA confirmed for development V0.
v0-sw-0023,spk-sw-001,sw,syllable,sw-ls-023,li,dataset-v0/audio/sw-en_setA_SPEAKER_sw-ls-023.wav,1.577,Basic Android phone (model unspecified),moderate,,yes,2026-08-14,Audio and segmentation QA confirmed for development V0.
v0-sw-0024,spk-sw-001,sw,syllable,sw-ls-024,lo,dataset-v0/audio/sw-en_setA_SPEAKER_sw-ls-024.wav,1.589,Basic Android phone (model unspecified),moderate,,yes,2026-08-14,Audio and segmentation QA confirmed for development V0.
v0-sw-0025,spk-sw-001,sw,syllable,sw-ls-025,lu,dataset-v0/audio/sw-en_setA_SPEAKER_sw-ls-025.wav,1.532,Basic Android phone (model unspecified),moderate,,yes,2026-08-14,Audio and segmentation QA confirmed for development V0.
v0-sw-0026,spk-sw-001,sw,syllable,sw-ls-026,sa,dataset-v0/audio/sw-en_setA_SPEAKER_sw-ls-026.wav,1.626,Basic Android phone (model unspecified),moderate,,yes,2026-08-14,Audio and segmentation QA confirmed for development V0.
v0-sw-0027,spk-sw-001,sw,syllable,sw-ls-027,se,dataset-v0/audio/sw-en_setA_SPEAKER_sw-ls-027.wav,1.997,Basic Android phone (model unspecified),moderate,,yes,2026-08-14,Audio and segmentation QA confirmed for development V0.
v0-sw-0028,spk-sw-001,sw,syllable,sw-ls-028,si,dataset-v0/audio/sw-en_setA_SPEAKER_sw-ls-028.wav,1.429,Basic Android phone (model unspecified),moderate,,yes,2026-08-14,Audio and segmentation QA confirmed for development V0.
v0-sw-0029,spk-sw-001,sw,syllable,sw-ls-029,so,dataset-v0/audio/sw-en_setA_SPEAKER_sw-ls-029.wav,1.594,Basic Android phone (model unspecified),moderate,,yes,2026-08-14,Audio and segmentation QA confirmed for development V0.
v0-sw-0030,spk-sw-001,sw,syllable,sw-ls-030,su,dataset-v0/audio/sw-en_setA_SPEAKER_sw-ls-030.wav,1.813,Basic Android phone (model unspecified),moderate,,yes,2026-08-14,Audio and segmentation QA confirmed for development V0.
v0-sw-0031,spk-sw-001,sw,word,sw-w-001,mama,dataset-v0/audio/sw-en_setA_SPEAKER_sw-w-001.wav,1.866,Basic Android phone (model unspecified),moderate,,yes,2026-08-14,Audio and segmentation QA confirmed for development V0.
v0-sw-0032,spk-sw-001,sw,word,sw-w-002,baba,dataset-v0/audio/sw-en_setA_SPEAKER_sw-w-002.wav,1.775,Basic Android phone (model unspecified),moderate,,yes,2026-08-14,Audio and segmentation QA confirmed for development V0.
v0-sw-0033,spk-sw-001,sw,word,sw-w-003,dada,dataset-v0/audio/sw-en_setA_SPEAKER_sw-w-003.wav,1.795,Basic Android phone (model unspecified),moderate,,yes,2026-08-14,Audio and segmentation QA confirmed for development V0.
v0-sw-0034,spk-sw-001,sw,word,sw-w-004,kaka,dataset-v0/audio/sw-en_setA_SPEAKER_sw-w-004.wav,1.601,Basic Android phone (model unspecified),moderate,,yes,2026-08-14,Audio and segmentation QA confirmed for development V0.
v0-sw-0035,spk-sw-001,sw,word,sw-w-005,maji,dataset-v0/audio/sw-en_setA_SPEAKER_sw-w-005.wav,1.639,Basic Android phone (model unspecified),moderate,,yes,2026-08-14,Audio and segmentation QA confirmed for development V0.
v0-sw-0036,spk-sw-001,sw,word,sw-w-006,moto,dataset-v0/audio/sw-en_setA_SPEAKER_sw-w-006.wav,1.633,Basic Android phone (model unspecified),moderate,,yes,2026-08-14,Audio and segmentation QA confirmed for development V0.
v0-sw-0037,spk-sw-001,sw,word,sw-w-007,meza,dataset-v0/audio/sw-en_setA_SPEAKER_sw-w-007.wav,1.759,Basic Android phone (model unspecified),moderate,,yes,2026-08-14,Audio and segmentation QA confirmed for development V0.
v0-sw-0038,spk-sw-001,sw,word,sw-w-008,paka,dataset-v0/audio/sw-en_setA_SPEAKER_sw-w-008.wav,1.663,Basic Android phone (model unspecified),moderate,,yes,2026-08-14,Audio and segmentation QA confirmed for development V0.
v0-sw-0039,spk-sw-001,sw,word,sw-w-009,soko,dataset-v0/audio/sw-en_setA_SPEAKER_sw-w-009.wav,1.690,Basic Android phone (model unspecified),moderate,,yes,2026-08-14,Audio and segmentation QA confirmed for development V0.
v0-sw-0040,spk-sw-001,sw,word,sw-w-010,duka,dataset-v0/audio/sw-en_setA_SPEAKER_sw-w-010.wav,1.642,Basic Android phone (model unspecified),moderate,,yes,2026-08-14,Audio and segmentation QA confirmed for development V0.
v0-sw-0041,spk-sw-001,sw,word,sw-w-011,embe,dataset-v0/audio/sw-en_setA_SPEAKER_sw-w-011.wav,1.588,Basic Android phone (model unspecified),moderate,,yes,2026-08-14,Audio and segmentation QA confirmed for development V0.
v0-sw-0042,spk-sw-001,sw,word,sw-w-012,ndizi,dataset-v0/audio/sw-en_setA_SPEAKER_sw-w-012.wav,1.582,Basic Android phone (model unspecified),moderate,,yes,2026-08-14,Audio and segmentation QA confirmed for development V0.
v0-sw-0043,spk-sw-001,sw,word,sw-w-013,nyumba,dataset-v0/audio/sw-en_setA_SPEAKER_sw-w-013.wav,1.607,Basic Android phone (model unspecified),moderate,,yes,2026-08-14,Audio and segmentation QA confirmed for development V0.
v0-sw-0044,spk-sw-001,sw,word,sw-w-014,jiko,dataset-v0/audio/sw-en_setA_SPEAKER_sw-w-014.wav,3.164,Basic Android phone (model unspecified),moderate,,yes,2026-08-14,Audio and segmentation QA confirmed for development V0.
v0-sw-0045,spk-sw-001,sw,word,sw-w-015,mlango,dataset-v0/audio/sw-en_setA_SPEAKER_sw-w-015.wav,1.495,Basic Android phone (model unspecified),moderate,,yes,2026-08-14,Audio and segmentation QA confirmed for development V0.
v0-sw-0046,spk-sw-001,sw,word,sw-w-016,gari,dataset-v0/audio/sw-en_setA_SPEAKER_sw-w-016.wav,1.553,Basic Android phone (model unspecified),moderate,,yes,2026-08-14,Audio and segmentation QA confirmed for development V0.
v0-sw-0047,spk-sw-001,sw,word,sw-w-017,nguo,dataset-v0/audio/sw-en_setA_SPEAKER_sw-w-017.wav,1.632,Basic Android phone (model unspecified),moderate,,yes,2026-08-14,Audio and segmentation QA confirmed for development V0.
v0-sw-0048,spk-sw-001,sw,word,sw-w-018,kiatu,dataset-v0/audio/sw-en_setA_SPEAKER_sw-w-018.wav,1.656,Basic Android phone (model unspecified),moderate,,yes,2026-08-14,Audio and segmentation QA confirmed for development V0.
v0-sw-0049,spk-sw-001,sw,word,sw-w-019,shule,dataset-v0/audio/sw-en_setA_SPEAKER_sw-w-019.wav,1.816,Basic Android phone (model unspecified),moderate,,yes,2026-08-14,Audio and segmentation QA confirmed for development V0.
v0-sw-0050,spk-sw-001,sw,word,sw-w-020,mtoto,dataset-v0/audio/sw-en_setA_SPEAKER_sw-w-020.wav,2.261,Basic Android phone (model unspecified),moderate,,yes,2026-08-14,Audio and segmentation QA confirmed for development V0.
v0-sw-0051,spk-sw-001,sw,word,sw-w-021,kitabu,dataset-v0/audio/sw-en_setA_SPEAKER_sw-w-021.wav,2.044,Basic Android phone (model unspecified),moderate,,yes,2026-08-14,Audio and segmentation QA confirmed for development V0.
v0-sw-0052,spk-sw-001,sw,word,sw-w-022,sahani,dataset-v0/audio/sw-en_setA_SPEAKER_sw-w-022.wav,1.886,Basic Android phone (model unspecified),moderate,,yes,2026-08-14,Audio and segmentation QA confirmed for development V0.
v0-sw-0053,spk-sw-001,sw,word,sw-w-023,kalamu,dataset-v0/audio/sw-en_setA_SPEAKER_sw-w-023.wav,2.288,Basic Android phone (model unspecified),moderate,,yes,2026-08-14,Audio and segmentation QA confirmed for development V0.
v0-sw-0054,spk-sw-001,sw,word,sw-w-024,kikapu,dataset-v0/audio/sw-en_setA_SPEAKER_sw-w-024.wav,1.879,Basic Android phone (model unspecified),moderate,,yes,2026-08-14,Audio and segmentation QA confirmed for development V0.
v0-sw-0055,spk-sw-001,sw,word,sw-w-025,ndugu,dataset-v0/audio/sw-en_setA_SPEAKER_sw-w-025.wav,1.619,Basic Android phone (model unspecified),moderate,,yes,2026-08-14,Audio and segmentation QA confirmed for development V0.
v0-sw-0056,spk-sw-001,sw,word,sw-w-026,rafiki,dataset-v0/audio/sw-en_setA_SPEAKER_sw-w-026.wav,1.776,Basic Android phone (model unspecified),moderate,,yes,2026-08-14,Audio and segmentation QA confirmed for development V0.
v0-sw-0057,spk-sw-001,sw,word,sw-w-027,chakula,dataset-v0/audio/sw-en_setA_SPEAKER_sw-w-027.wav,2.675,Basic Android phone (model unspecified),moderate,,yes,2026-08-14,Audio and segmentation QA confirmed for development V0.
v0-sw-0058,spk-sw-001,sw,word,sw-w-028,samaki,dataset-v0/audio/sw-en_setA_SPEAKER_sw-w-028.wav,2.347,Basic Android phone (model unspecified),moderate,,yes,2026-08-14,Audio and segmentation QA confirmed for development V0.
v0-sw-0059,spk-sw-001,sw,word,sw-w-029,kikombe,dataset-v0/audio/sw-en_setA_SPEAKER_sw-w-029.wav,2.407,Basic Android phone (model unspecified),moderate,,yes,2026-08-14,Audio and segmentation QA confirmed for development V0.
v0-sw-0060,spk-sw-001,sw,word,sw-w-030,mvua,dataset-v0/audio/sw-en_setA_SPEAKER_sw-w-030.wav,2.374,Basic Android phone (model unspecified),moderate,,yes,2026-08-14,Audio and segmentation QA confirmed for development V0.
v0-sw-0061,spk-sw-001,sw,word,sw-w-031,jua,dataset-v0/audio/sw-en_setA_SPEAKER_sw-w-031.wav,2.034,Basic Android phone (model unspecified),moderate,,yes,2026-08-14,Audio and segmentation QA confirmed for development V0.
v0-sw-0062,spk-sw-001,sw,word,sw-w-032,mwezi,dataset-v0/audio/sw-en_setA_SPEAKER_sw-w-032.wav,1.801,Basic Android phone (model unspecified),moderate,,yes,2026-08-14,Audio and segmentation QA confirmed for development V0.
v0-sw-0063,spk-sw-001,sw,word,sw-w-033,mchezo,dataset-v0/audio/sw-en_setA_SPEAKER_sw-w-033.wav,1.776,Basic Android phone (model unspecified),moderate,,yes,2026-08-14,Audio and segmentation QA confirmed for development V0.
v0-sw-0064,spk-sw-001,sw,word,sw-w-034,mwalimu,dataset-v0/audio/sw-en_setA_SPEAKER_sw-w-034.wav,1.792,Basic Android phone (model unspecified),moderate,,yes,2026-08-14,Audio and segmentation QA confirmed for development V0.
v0-sw-0065,spk-sw-001,sw,word,sw-w-035,simba,dataset-v0/audio/sw-en_setA_SPEAKER_sw-w-035.wav,1.839,Basic Android phone (model unspecified),moderate,,yes,2026-08-14,Audio and segmentation QA confirmed for development V0.
v0-sw-0066,spk-sw-001,sw,word,sw-w-036,ndege,dataset-v0/audio/sw-en_setA_SPEAKER_sw-w-036.wav,1.795,Basic Android phone (model unspecified),moderate,,yes,2026-08-14,Audio and segmentation QA confirmed for development V0.
v0-sw-0067,spk-sw-001,sw,word,sw-w-037,ng'ombe,dataset-v0/audio/sw-en_setA_SPEAKER_sw-w-037.wav,1.659,Basic Android phone (model unspecified),moderate,,yes,2026-08-14,Audio and segmentation QA confirmed for development V0.
v0-sw-0068,spk-sw-001,sw,word,sw-w-038,mbuzi,dataset-v0/audio/sw-en_setA_SPEAKER_sw-w-038.wav,2.053,Basic Android phone (model unspecified),moderate,,yes,2026-08-14,Audio and segmentation QA confirmed for development V0.
v0-sw-0069,spk-sw-001,sw,word,sw-w-039,kuku,dataset-v0/audio/sw-en_setA_SPEAKER_sw-w-039.wav,3.833,Basic Android phone (model unspecified),moderate,,yes,2026-08-14,Audio and segmentation QA confirmed for development V0.
v0-sw-0070,spk-sw-001,sw,word,sw-w-040,asante,dataset-v0/audio/sw-en_setA_SPEAKER_sw-w-040.wav,2.078,Basic Android phone (model unspecified),moderate,,yes,2026-08-14,Audio and segmentation QA confirmed for development V0.
v0-sw-0071,spk-sw-001,sw,paragraph,sw-p-001,Leo ni siku ya shule. Nina sare mpya safi. Viatu vyangu ni vipya. Nafurahi kwenda shuleni leo.,dataset-v0/audio/sw-en_setA_SPEAKER_sw-p-001.wav,17.920,Basic Android phone (model unspecified),moderate,,yes,2026-08-14,Audio and segmentation QA confirmed for development V0.
v0-sw-0072,spk-sw-001,sw,paragraph,sw-p-002,Mama anapika kwa moto. Moto unatoa joto kali. Moto unatupa mwanga pia. Sote tunapenda moto jioni.,dataset-v0/audio/sw-en_setA_SPEAKER_sw-p-002.wav,19.072,Basic Android phone (model unspecified),moderate,,yes,2026-08-14,Audio and segmentation QA confirmed for development V0.
v0-sw-0073,spk-sw-001,sw,story,sw-s-001,"Jembe lake lilikuwa fupi mno. Mlango wake ulikuwa chini mno. Kitanda chake kilikuwa kifupi mno. Mtu huyu alikuwa mrefu zaidi! Alitengeneza mpini wa jembe mrefu sana. Alitengeneza fremu ndefu za milango. Alitengeneza kitanda kirefu sana. Aliacha nyumba yake na kuishi katika msitu mkubwa. Aliishi kwa miaka mingi, naye alifurahi.",dataset-v0/audio/sw-en_setA_SPEAKER_sw-s-001.wav,72.533,Basic Android phone (model unspecified),moderate,,yes,2026-08-14,Audio and segmentation QA confirmed for development V0.
v0-sw-0074,spk-sw-001,sw,story,sw-s-002,"Tom anabeba tenga la ndizi zilizoiva. Tom anaenda sokoni kuuza ndizi. Lakini hakuna anayenunua ndizi za Tom. ""Ni wanawake pekee ndio wanaouza matunda,"" watu wanasema. Lakini Tom hakati tamaa. Anaita, ""Nunua ndizi zangu tamu!"" Mwanamke mmoja ananunua ndizi zake. Watu wengine wanakuja na kununua ndizi za Tom. Mara, tenga linakuwa tupu, naye Tom anafurahi.",dataset-v0/audio/sw-en_setA_SPEAKER_sw-s-002.wav,78.208,Basic Android phone (model unspecified),moderate,,yes,2026-08-14,Audio and segmentation QA confirmed for development V0.
v0-sw-0075,spk-sw-001,sw,comprehension_question,sw-s-001-q1,Jembe la mtu huyu lilikuwa refu au fupi mwanzoni?,dataset-v0/audio/sw-en_setA_SPEAKER_sw-s-001-q1.wav,7.620,Basic Android phone (model unspecified),moderate,,yes,2026-08-14,Audio and segmentation QA confirmed for development V0.
v0-sw-0076,spk-sw-001,sw,comprehension_question,sw-s-001-q2,Kwa nini mtu huyu alitengeneza vitu vipya?,dataset-v0/audio/sw-en_setA_SPEAKER_sw-s-001-q2.wav,9.130,Basic Android phone (model unspecified),moderate,,yes,2026-08-14,Audio and segmentation QA confirmed for development V0.
v0-sw-0077,spk-sw-001,sw,comprehension_question,sw-s-002-q1,Tom alikuwa akiuza nini sokoni?,dataset-v0/audio/sw-en_setA_SPEAKER_sw-s-002-q1.wav,7.510,Basic Android phone (model unspecified),moderate,,yes,2026-08-14,Audio and segmentation QA confirmed for development V0.
v0-sw-0078,spk-sw-001,sw,comprehension_question,sw-s-002-q2,Kwa nini watu hawakutaka kununua ndizi za Tom mwanzoni?,dataset-v0/audio/sw-en_setA_SPEAKER_sw-s-002-q2.wav,8.954,Basic Android phone (model unspecified),moderate,,yes,2026-08-14,Audio and segmentation QA confirmed for development V0.
v0-sw-0079,spk-sw-001,sw-en,scripted_prompt_reading,setB-01,Niambie kuhusu shule yako.,dataset-v0/audio/sw-en_setB_SPEAKER_setB-01.wav,10.373,Basic Android phone (model unspecified),moderate,,yes,2026-08-14,Prompt: Niambie kuhusu shule yako. Contributor-confirmed scripted reading of prompt_text; this is not a spontaneous free-response answer. Audio and segmentation QA confirmed for development V0.
v0-sw-0080,spk-sw-001,sw-en,scripted_prompt_reading,setB-02,Ulifanya nini jana baada ya shule?,dataset-v0/audio/sw-en_setB_SPEAKER_setB-02.wav,8.333,Basic Android phone (model unspecified),moderate,,yes,2026-08-14,Prompt: Ulifanya nini jana baada ya shule? Contributor-confirmed scripted reading of prompt_text; this is not a spontaneous free-response answer. Audio and segmentation QA confirmed for development V0.
v0-sw-0081,spk-sw-001,sw-en,scripted_prompt_reading,setB-03,Unafikaje sokoni ukitoka nyumbani kwenu?,dataset-v0/audio/sw-en_setB_SPEAKER_setB-03.wav,7.459,Basic Android phone (model unspecified),moderate,,yes,2026-08-14,Prompt: Unafikaje sokoni ukitoka nyumbani kwenu? Contributor-confirmed scripted reading of prompt_text; this is not a spontaneous free-response answer. Audio and segmentation QA confirmed for development V0.
v0-sw-0082,spk-sw-001,sw-en,scripted_prompt_reading,setB-04,"Somo gani unalipenda zaidi, na kwa nini?",dataset-v0/audio/sw-en_setB_SPEAKER_setB-04.wav,7.741,Basic Android phone (model unspecified),moderate,,yes,2026-08-14,"Prompt: Somo gani unalipenda zaidi, na kwa nini? Contributor-confirmed scripted reading of prompt_text; this is not a spontaneous free-response answer. Audio and segmentation QA confirmed for development V0."
v0-sw-0083,spk-sw-001,sw-en,scripted_prompt_reading,setB-05,Niambie wakati ulipomsaidia mtu.,dataset-v0/audio/sw-en_setB_SPEAKER_setB-05.wav,9.589,Basic Android phone (model unspecified),moderate,,yes,2026-08-14,Prompt: Niambie wakati ulipomsaidia mtu. Contributor-confirmed scripted reading of prompt_text; this is not a spontaneous free-response answer. Audio and segmentation QA confirmed for development V0.
v0-sw-0084,spk-sw-001,sw-en,scripted_prompt_reading,setB-06,Hesabu kwa sauti kuanzia moja hadi ishirini.,dataset-v0/audio/sw-en_setB_SPEAKER_setB-06.wav,13.357,Basic Android phone (model unspecified),moderate,,yes,2026-08-14,Prompt: Hesabu kwa sauti kuanzia moja hadi ishirini. Contributor-confirmed scripted reading of prompt_text; this is not a spontaneous free-response answer. Audio and segmentation QA confirmed for development V0.
v0-sw-0085,spk-sw-001,sw-en,scripted_prompt_reading,setB-07,Kumi na tano jumlisha saba ni ngapi? Niambie jinsi ulivyopata jibu lako.,dataset-v0/audio/sw-en_setB_SPEAKER_setB-07.wav,10.695,Basic Android phone (model unspecified),moderate,,yes,2026-08-14,Prompt: Kumi na tano jumlisha saba ni ngapi? Niambie jinsi ulivyopata jibu lako. Contributor-confirmed scripted reading of prompt_text; this is not a spontaneous free-response answer. Audio and segmentation QA confirmed for development V0.
v0-sw-0086,spk-sw-001,sw-en,scripted_prompt_reading,setB-08,Niambie jambo lililotokea shuleni wiki hii.,dataset-v0/audio/sw-en_setB_SPEAKER_setB-08.wav,5.825,Basic Android phone (model unspecified),moderate,,yes,2026-08-14,Prompt: Niambie jambo lililotokea shuleni wiki hii. Contributor-confirmed scripted reading of prompt_text; this is not a spontaneous free-response answer. Audio and segmentation QA confirmed for development V0.
v0-sw-0087,spk-sw-001,sw-en,scripted_prompt_reading,setB-09,Unataka kuwa nini ukikua?,dataset-v0/audio/sw-en_setB_SPEAKER_setB-09.wav,8.957,Basic Android phone (model unspecified),moderate,,yes,2026-08-14,Prompt: Unataka kuwa nini ukikua? Contributor-confirmed scripted reading of prompt_text; this is not a spontaneous free-response answer. Audio and segmentation QA confirmed for development V0.
v0-sw-0088,spk-sw-001,sw-en,scripted_prompt_reading,setB-10,"Nieleze mchezo unaocheza na marafiki zako, na kanuni zake.",dataset-v0/audio/sw-en_setB_SPEAKER_setB-10.wav,5.095,Basic Android phone (model unspecified),moderate,,yes,2026-08-14,"Prompt: Nieleze mchezo unaocheza na marafiki zako, na kanuni zake. Contributor-confirmed scripted reading of prompt_text; this is not a spontaneous free-response answer. Audio and segmentation QA confirmed for development V0."
v0-sw-0089,spk-sw-001,sw-en,scaffolding_utterance,instr-start-letter-syllable-001,Hebu sasa soma syllable hii kwa sauti.,dataset-v0/audio/sw-en_setC_SPEAKER_instr-start-letter-syllable-001.wav,4.745,Basic Android phone (model unspecified),moderate,,yes,2026-08-14,Audio and segmentation QA confirmed for development V0.
v0-sw-0090,spk-sw-001,sw-en,scaffolding_utterance,instr-retry-001,Hebu jaribu kuisoma tena. One more time!,dataset-v0/audio/sw-en_setC_SPEAKER_instr-retry-001.wav,7.688,Basic Android phone (model unspecified),moderate,,yes,2026-08-14,Audio and segmentation QA confirmed for development V0.
v0-sw-0091,spk-sw-001,sw-en,scaffolding_utterance,instr-slow-down-001,"Soma polepole, take your time, usikimbilie maneno.",dataset-v0/audio/sw-en_setC_SPEAKER_instr-slow-down-001.wav,9.391,Basic Android phone (model unspecified),moderate,,yes,2026-08-14,This recording follows the earlier script wording 'usikimbilie maneno'; the current reviewed corpus now uses 'usiache maneno'. Audio and segmentation QA confirmed for development V0.
v0-sw-0092,spk-sw-001,sw-en,scaffolding_utterance,instr-ready-check-001,Uko ready? Twende!,dataset-v0/audio/sw-en_setC_SPEAKER_instr-ready-check-001.wav,4.263,Basic Android phone (model unspecified),moderate,,yes,2026-08-14,Audio and segmentation QA confirmed for development V0.
v0-sw-0093,spk-sw-001,sw-en,scaffolding_utterance,praise-first-try-beginner-001,"Hongera! Good job, umeitamka vizuri!",dataset-v0/audio/sw-en_setC_SPEAKER_praise-first-try-beginner-001.wav,3.660,Basic Android phone (model unspecified),moderate,,yes,2026-08-14,Audio and segmentation QA confirmed for development V0.
v0-sw-0094,spk-sw-001,sw-en,scaffolding_utterance,praise-first-try-paragraph-001,Umesoma kifungu vizuri sana. Great job!,dataset-v0/audio/sw-en_setC_SPEAKER_praise-first-try-paragraph-001.wav,5.392,Basic Android phone (model unspecified),moderate,,yes,2026-08-14,Audio and segmentation QA confirmed for development V0.
v0-sw-0095,spk-sw-001,sw-en,scaffolding_utterance,praise-effort-general-001,Good try! Umejitahidi; tujaribu tena pamoja.,dataset-v0/audio/sw-en_setC_SPEAKER_praise-effort-general-001.wav,6.887,Basic Android phone (model unspecified),moderate,,yes,2026-08-14,Audio and segmentation QA confirmed for development V0.
